combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
0,L0N8712;L0N8302;L0N6887;L1N3242;L3N7263,1;2;3;4;5,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08100880160797645,0.05196649047136178,0.1685830488741307,0.0010251079724370171,0.0010352931077064129,1.2496149186113803
1,L0N8712;L0N8302;L0N6887;L1N3242;L1N6665,1;2;3;4;6,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08088009536015113,0.05185999522072988,0.16831262754783774,0.0011538142202623392,0.001141788358338315,1.406508876833813
2,L0N8712;L0N8302;L0N6887;L1N3242;L23N1433,1;2;3;4;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08083203415124349,0.051829126657396675,0.16828488405303615,0.0012018754291699824,0.001172656921671518,1.4650958796396847
3,L0N8712;L0N8302;L0N6887;L1N3242;L20N3498,1;2;3;4;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08064354504856212,0.05486580253751314,0.16784558796326993,0.0013903645318513458,-0.0018640189584449504,1.6948656219882408
4,L0N8712;L0N8302;L0N6887;L1N3242;L4N8711,1;2;3;4;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08082095689007181,0.051838049511089404,0.16820844708907814,0.001212952690341662,0.0011637340679787889,1.4785991506995888
5,L0N8712;L0N8302;L0N6887;L1N3242;L0N7415,1;2;3;4;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08081217404631003,0.051843883733796996,0.1681919229586023,0.0012217355341034436,0.0011578998452711972,1.4893055083591273
6,L0N8712;L0N8302;L0N6887;L3N7263;L1N6665,1;2;3;5;6,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08121552147246107,0.052132288173428215,0.16896047683201354,0.0008183881079524002,0.0008694954056399778,0.9976217300117557
7,L0N8712;L0N8302;L0N6887;L3N7263;L23N1433,1;2;3;5;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08117542932862547,0.05210061937949373,0.16893862581131294,0.0008584802517880019,0.000901164199574464,1.0464943779699778
8,L0N8712;L0N8302;L0N6887;L3N7263;L20N3498,1;2;3;5;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08096906020639691,0.05512798700920797,0.1684905841072867,0.0010648493740165604,-0.002126203430139778,1.2980600089195375
9,L0N8712;L0N8302;L0N6887;L3N7263;L4N8711,1;2;3;5;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0811640229346069,0.05211647892584411,0.16886002671849937,0.0008698866458065752,0.0008853046532240824,1.0603988646352052
10,L0N8712;L0N8302;L0N6887;L3N7263;L0N7415,1;2;3;5;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08114983834368517,0.052116033886771926,0.16884097905387724,0.0008840712367283038,0.0008857496922962671,1.077689995820199
11,L0N8712;L0N8302;L0N6887;L1N6665;L23N1433,1;2;3;6;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08107556210567918,0.05201429307374103,0.16877002631338006,0.0009583474747342918,0.0009874905053271626,1.1682333313577782
12,L0N8712;L0N8302;L0N6887;L1N6665;L20N3498,1;2;3;6;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0808825923888614,0.055064326619197725,0.16832332522031082,0.0011513171915520648,-0.0020625430401295317,1.4034649786177629
13,L0N8712;L0N8302;L0N6887;L1N6665;L4N8711,1;2;3;6;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08105644828127975,0.052021715450946866,0.16867639270883344,0.0009774612991337167,0.0009800681281213267,1.1915332380636614
14,L0N8712;L0N8302;L0N6887;L1N6665;L0N7415,1;2;3;6;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08105746491530189,0.05203165933657895,0.16868177253807776,0.0009764446651115838,0.0009701242424892398,1.1902939529590835
15,L0N8712;L0N8302;L0N6887;L23N1433;L20N3498,1;2;3;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08083284648852436,0.055033336115742314,0.16829828746789066,0.0012010630918891096,-0.0020315525366741208,1.464105633916876
16,L0N8712;L0N8302;L0N6887;L23N1433;L4N8711,1;2;3;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08101737628296703,0.05199243954019445,0.1686588846192123,0.0010165332974464425,0.0010093440388737399,1.2391623203694675
17,L0N8712;L0N8302;L0N6887;L23N1433;L0N7415,1;2;3;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0810098247943601,0.05199930358984952,0.1686503593101603,0.0010240847860533697,0.0010024799892186728,1.2483676461250623
18,L0N8712;L0N8302;L0N6887;L20N3498;L4N8711,1;2;3;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08082232452234096,0.05503757016025375,0.16821192374746885,0.0012115850580725063,-0.0020357865811855558,1.4769319958898874
19,L0N8712;L0N8302;L0N6887;L20N3498;L0N7415,1;2;3;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08081394281426128,0.05504132681084861,0.1682042464478968,0.0012199667661521862,-0.002039543231780419,1.4871493659049833
20,L0N8712;L0N8302;L0N6887;L4N8711;L0N7415,1;2;3;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08099472203139464,0.052008261712699205,0.1685638232485676,0.0010391875490188274,0.0009935218663689876,1.2667780364657217
21,L0N8712;L0N8302;L1N3242;L3N7263;L1N6665,1;2;4;5;6,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08161615138368633,0.052590981918530254,0.16958127133576523,0.00041775819672713876,0.00041080166053793915,0.5092506243623958
22,L0N8712;L0N8302;L1N3242;L3N7263;L23N1433,1;2;4;5;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08158303908718453,0.052546250639084066,0.16957957187827402,0.0004508704932289359,0.0004555329399841268,0.5496147819054894
23,L0N8712;L0N8302;L1N3242;L3N7263;L20N3498,1;2;4;5;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08139615339058644,0.05558965058687914,0.16913309470792107,0.0006377561898270323,-0.002587867007810947,0.7774299592559024
24,L0N8712;L0N8302;L1N3242;L3N7263;L4N8711,1;2;4;5;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08157601911726425,0.05256591305957642,0.16949228925884502,0.0004578904631492159,0.0004358705194917739,0.5581721820784005
25,L0N8712;L0N8302;L1N3242;L3N7263;L0N7415,1;2;4;5;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08155268811820503,0.05256144518513828,0.16947297003805026,0.0004812214622084421,0.0004403383939299149,0.5866128588406802
26,L0N8712;L0N8302;L1N3242;L1N6665;L23N1433,1;2;4;6;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08144132000127963,0.052443657760164575,0.1693154046742452,0.0005925895791338426,0.0005581258189036181,0.722371495110761
27,L0N8712;L0N8302;L1N3242;L1N6665;L20N3498,1;2;4;6;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08126672140966815,0.055509671613232545,0.16887158167140115,0.0007671881707453226,-0.0025078880341643517,0.9352085919948615
28,L0N8712;L0N8302;L1N3242;L1N6665;L4N8711,1;2;4;6;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08142668473622376,0.05245483065916297,0.16921362942990467,0.0006072248441897077,0.0005469529199052248,0.7402120017143369
29,L0N8712;L0N8302;L1N3242;L1N6665;L0N7415,1;2;4;6;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08141939995701304,0.05246098569145087,0.16921988281059888,0.0006145096234004277,0.0005407978876173225,0.7490922065564322
30,L0N8712;L0N8302;L1N3242;L23N1433;L20N3498,1;2;4;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08122547540438223,0.05546796158003293,0.1688697334974532,0.0008084341760312419,-0.0024661780009647347,0.9854878064037372
31,L0N8712;L0N8302;L1N3242;L23N1433;L4N8711,1;2;4;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08139418574717665,0.05241314434717345,0.1692176418758503,0.0006397238332368216,0.0005886392318947414,0.7798285325042742
32,L0N8712;L0N8302;L1N3242;L23N1433;L0N7415,1;2;4;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0813795581967869,0.05241687833840182,0.16921090136325517,0.0006543513836265724,0.0005849052406663724,0.7976596348673918
33,L0N8712;L0N8302;L1N3242;L20N3498;L4N8711,1;2;4;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08121618592891203,0.05547288469805553,0.16877368065131432,0.0008177236515014424,-0.002471101118987337,0.9968117522179917
34,L0N8712;L0N8302;L1N3242;L20N3498;L0N7415,1;2;4;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08120242980326298,0.055476122925720274,0.16876768587522237,0.0008314797771504928,-0.002474339346652081,1.0135805807663445
35,L0N8712;L0N8302;L1N3242;L4N8711;L0N7415,1;2;4;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08136708044360871,0.052429032901879266,0.16911385879183094,0.0006668291368047558,0.0005727506771889268,0.8128701170228864
36,L0N8712;L0N8302;L3N7263;L1N6665;L23N1433,1;2;5;6;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08178990810031608,0.052709835517091595,0.16993274581191006,0.0002440014800973861,0.00029194806197659767,0.29743977989760984
37,L0N8712;L0N8302;L3N7263;L1N6665;L20N3498,1;2;5;6;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08159599867405451,0.05576392293746904,0.16948056210710308,0.0004379109063589598,-0.0027621393584008475,0.5338169405783337
38,L0N8712;L0N8302;L3N7263;L1N6665;L4N8711,1;2;5;6;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08177691328744752,0.052728751379590016,0.16983132343352336,0.0002569962929659525,0.0002730321994781765,0.313280562002269
39,L0N8712;L0N8302;L3N7263;L1N6665;L0N7415,1;2;5;6;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08176393836740531,0.05272854208141214,0.16983389614365701,0.0002699712130081605,0.0002732414976560557,0.3290970945905268
40,L0N8712;L0N8302;L3N7263;L23N1433;L20N3498,1;2;5;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08155924142482542,0.05572077740582774,0.1694817982138338,0.00047466815558805386,-0.0027189938267595457,0.5786243250088696
41,L0N8712;L0N8302;L3N7263;L23N1433;L4N8711,1;2;5;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08174926166954011,0.0526850022199763,0.16983846226300317,0.00028464791087336183,0.00031678135909189026,0.3469881081241613
42,L0N8712;L0N8302;L3N7263;L23N1433;L0N7415,1;2;5;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08172897162307237,0.05268227792665879,0.16982808750522219,0.0003049379573411004,0.000319505652409402,0.3717218390550873
43,L0N8712;L0N8302;L3N7263;L20N3498;L4N8711,1;2;5;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08155168341789455,0.05573287623855581,0.16938604849631822,0.00048222616251891726,-0.0027310926594876148,0.587837596654121
44,L0N8712;L0N8302;L3N7263;L20N3498;L0N7415,1;2;5;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0815326163276878,0.05572990339160786,0.16937640841745408,0.0005012932527256736,-0.0027281198125396686,0.6110805340007385
45,L0N8712;L0N8302;L3N7263;L4N8711;L0N7415,1;2;5;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08171806462331906,0.05270197387196172,0.1697312609181378,0.0003158449570944133,0.00029980970710647564,0.38501756006741006
46,L0N8712;L0N8302;L1N6665;L23N1433;L20N3498,1;2;6;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08146032125168601,0.05566139115904733,0.16931111650750028,0.0005735883287274618,-0.0026596075799791355,0.6992088170139005
47,L0N8712;L0N8302;L1N6665;L23N1433;L4N8711,1;2;6;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08163027652154385,0.052596195869551776,0.16965406501217528,0.000403633058869618,0.00040558770951641676,0.49203196694405743
48,L0N8712;L0N8302;L1N6665;L23N1433;L0N7415,1;2;6;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08162457981664119,0.05260288455859132,0.16966654867149183,0.0004093297637722815,0.00039889902047687137,0.4989762963461315
49,L0N8712;L0N8302;L1N6665;L20N3498;L4N8711,1;2;6;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08144594782209749,0.05566596638534227,0.16920332330931276,0.0005879617583159774,-0.0026641828062740763,0.7167301440627182
50,L0N8712;L0N8302;L1N6665;L20N3498;L0N7415,1;2;6;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0814415510244407,0.055673214493141054,0.16921628552363568,0.000592358555972769,-0.0026714309140728615,0.7220898760068377
51,L0N8712;L0N8302;L1N6665;L4N8711;L0N7415,1;2;6;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08160706055480481,0.05261522978178759,0.16955720033196292,0.000426849025608661,0.00038655379728060046,0.5203324183766271
