combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
0,L11N2607;L11N2652;L0N399;L10N379;L10N369,1;2;3;4;5,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11520532949258838,0.08588498899792836,0.21147834160562734,-0.01860657755518455,-0.02754723593248102,-19.26171630793082
1,L11N2607;L11N2652;L0N399;L10N379;L9N255,1;2;3;4;6,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1014604939531513,0.07158022246004893,0.2000958775895927,-0.004861742015747475,-0.013242469394601587,-5.032924254443673
2,L11N2607;L11N2652;L0N399;L10N379;L9N1503,1;2;3;4;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10914954914128215,0.07805890949131004,0.20397264578623703,-0.01255079720387832,-0.019721156425862703,-12.99271155388349
3,L11N2607;L11N2652;L0N399;L10N379;L10N1162,1;2;3;4;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10886299235362361,0.07747127584696024,0.20772746897219324,-0.012264240416219777,-0.019133522781512903,-12.696065083912291
4,L11N2607;L11N2652;L0N399;L10N379;L10N2178,1;2;3;4;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1058365437531319,0.07606647019370437,0.20042607478164667,-0.009237791815728064,-0.017728717128257028,-9.563055040001107
5,L11N2607;L11N2652;L0N399;L10N379;L11N1623,1;2;3;4;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11018322452699347,0.07990618799358677,0.20767954509639314,-0.013584472589589641,-0.02156843492813943,-14.0627827142036
6,L11N2607;L11N2652;L0N399;L10N369;L9N255,1;2;3;5;6,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10938383555963423,0.08003847598423516,0.20970537498330513,-0.012785083622230395,-0.021700722918787822,-13.235247211594569
7,L11N2607;L11N2652;L0N399;L10N369;L9N1503,1;2;3;5;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11882067589648268,0.08847807342894633,0.2151409530781071,-0.02222192395907885,-0.030140320363498986,-23.004359283522312
8,L11N2607;L11N2652;L0N399;L10N369;L10N1162,1;2;3;5;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11816688772395399,0.08742482772837681,0.2184643730287208,-0.02156813578655016,-0.029087074662929473,-22.327551188783836
9,L11N2607;L11N2652;L0N399;L10N369;L10N2178,1;2;3;5;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11523268143229319,0.0860864140805427,0.21132593371820751,-0.01863392949488936,-0.027748661015095356,-19.29003131113348
10,L11N2607;L11N2652;L0N399;L10N369;L11N1623,1;2;3;5;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11956814531092361,0.08994958885354758,0.21843946829780128,-0.022969393373519775,-0.031611835788100236,-23.778147142526215
11,L11N2607;L11N2652;L0N399;L9N255;L9N1503,1;2;3;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10476364386990689,0.07389440517648674,0.20362964868406253,-0.008164891932503054,-0.015556652111039397,-8.452378285170722
12,L11N2607;L11N2652;L0N399;L9N255;L10N1162,1;2;3;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10434205096880209,0.07297125666636892,0.2072336223054726,-0.007743299031398254,-0.014633503600921575,-8.015941071801763
13,L11N2607;L11N2652;L0N399;L9N255;L10N2178,1;2;3;6;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10145440647829712,0.07178595802291607,0.19989312308367613,-0.004855654540893289,-0.013448204957468728,-5.026622439221329
14,L11N2607;L11N2652;L0N399;L9N255;L11N1623,1;2;3;6;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10568321843237051,0.07545496239906652,0.2071390877132688,-0.009084466494966678,-0.017117209333619175,-9.404331125161358
15,L11N2607;L11N2652;L0N399;L9N1503;L10N1162,1;2;3;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11220961382035995,0.07979071520962029,0.21112330315503275,-0.015610861882956115,-0.02145296214417295,-16.160521300598152
16,L11N2607;L11N2652;L0N399;L9N1503;L10N2178,1;2;3;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10903880273179611,0.07833681177217619,0.203913025526853,-0.012440050794392282,-0.01999905870672885,-12.878065756432813
17,L11N2607;L11N2652;L0N399;L9N1503;L11N1623,1;2;3;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11351854395531999,0.08225152694351152,0.2109439869906217,-0.016919792017916158,-0.023913773878064183,-17.515538947004423
18,L11N2607;L11N2652;L0N399;L10N1162;L10N2178,1;2;3;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10887085058625609,0.07763080412093425,0.20756186073428068,-0.012272098648852259,-0.019293051055486905,-12.704200005404418
19,L11N2607;L11N2652;L0N399;L10N1162;L11N1623,1;2;3;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11317392484444781,0.0814592669008141,0.21473541531419782,-0.01657517290704398,-0.023121513835366765,-17.1587857758087
