layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score,rank_abs_proxy,rank_proxy_score,rank_reverse_proxy_score
11,2607,L11N2607,0.1720040604831741,47.773685455322266,8.217267882561389,8.217267882561389,1,1,36864
11,2652,L11N2652,0.2279463045950292,-30.13415908813477,-6.8689702062190365,6.8689702062190365,2,36864,1
0,399,L0N399,2.764279025945474,2.4043328762054443,6.646246941085866,6.646246941085866,3,2,36863
10,379,L10N379,2.720692228593609,2.0266919136047363,5.514004939097918,5.514004939097918,4,3,36862
10,369,L10N369,0.9283226471379749,-5.42158317565918,-5.032978445306638,5.032978445306638,5,36863,2
9,255,L9N255,0.3939537264625621,11.964226722717283,4.713351701657441,4.713351701657441,6,4,36861
9,1503,L9N1503,1.048681874690043,-4.310958862304688,-4.520824421433335,4.520824421433335,7,36862,3
10,1162,L10N1162,0.8681731597016386,4.9111433029174805,4.26372279904141,4.26372279904141,8,5,36860
10,2178,L10N2178,1.6541781632991677,-2.2445242404937744,-3.7128429856204512,3.7128429856204512,9,36861,4
11,1623,L11N1623,1.1291537382115655,3.2814626693725586,3.705275839923728,3.705275839923728,10,6,36859
0,2627,L0N2627,2.3551640635394677,-1.5473390817642212,-3.644237399481251,3.644237399481251,11,36860,5
9,2603,L9N2603,0.9934099042978646,-3.0273261070251465,-3.0073757382582778,3.0073757382582778,12,36859,6
9,2315,L9N2315,-0.1116809267884078,25.95893669128418,-2.899118108124221,2.899118108124221,13,36858,7
11,2926,L11N2926,0.176800940852726,15.847420692443848,2.801838888513031,2.801838888513031,14,7,36858
0,2845,L0N2845,2.1217370267618785,1.2920253276824951,2.741337977258099,2.741337977258099,15,8,36857
8,2596,L8N2596,1.402213949062438,1.9206925630569456,2.693221903778936,2.693221903778936,16,9,36856
11,2044,L11N2044,2.529056340117346,-0.9526001811027528,-2.4091795276148487,2.4091795276148487,17,36857,8
8,2108,L8N2108,1.186828257600692,-1.969014048576355,-2.33688151246316,2.33688151246316,18,36856,9
0,1558,L0N1558,0.8607822929491208,2.500605583190918,2.152477007660452,2.152477007660452,19,10,36855
10,1109,L10N1109,1.1105638455981204,1.931484937667847,2.1450373400912497,2.1450373400912497,20,11,36854
10,1382,L10N1382,0.8246429433286473,2.592353343963623,2.1377658917140234,2.1377658917140234,21,12,36853
11,1776,L11N1776,0.4932846743578052,-4.248135089874268,-2.095539934436594,2.095539934436594,22,36855,10
10,1690,L10N1690,1.7378105714239858,1.1814463138580322,2.0531298937923887,2.0531298937923887,23,13,36852
0,694,L0N694,1.1608640952628444,-1.7574039697647097,-2.040107169372241,2.040107169372241,24,36854,11
11,322,L11N322,0.912293758278956,2.221881866455078,2.0270089584001645,2.0270089584001645,25,14,36851
10,1015,L10N1015,1.4385356720320983,1.4045896530151367,2.020552320429461,2.020552320429461,26,15,36850
8,23,L8N23,1.381226043316499,-1.4615592956542969,-2.018743763009033,2.018743763009033,27,36853,12
11,3065,L11N3065,1.134375665910358,1.7631011009216309,2.0000189854252604,2.0000189854252604,28,16,36849
11,2032,L11N2032,1.161012313639301,-1.7117280960083008,-1.9873373970679924,1.9873373970679924,29,36852,13
5,1795,L5N1795,0.808922089489583,-2.44492506980896,-1.9777538961153285,1.9777538961153285,30,36851,14
11,2,L11N2,1.371834078055227,1.4313127994537354,1.963523674647261,1.963523674647261,31,17,36848
9,244,L9N244,-0.0945643184706641,-20.680625915527344,1.955649295248597,1.955649295248597,32,18,36847
10,1973,L10N1973,2.2671998125754973,-0.8493173718452454,-1.9255721862646544,1.9255721862646544,33,36850,15
11,1550,L11N1550,0.601784241952673,3.112390518188477,1.8729875686487396,1.8729875686487396,34,19,36846
5,1319,L5N1319,-0.1331173374366533,-13.770988464355469,1.833157318245868,1.833157318245868,35,20,36845
2,126,L2N126,1.3793262362726224,1.316352128982544,1.8156790276789456,1.8156790276789456,36,21,36844
0,620,L0N620,0.9834141956303608,-1.8379614353179927,-1.8074773665128676,1.8074773665128676,37,36849,16
6,1336,L6N1336,0.8454034109621055,2.0861172676086426,1.7636106537032938,1.7636106537032938,38,22,36843
9,978,L9N978,1.5857335071418095,1.1098206043243408,1.7598797191934794,1.7598797191934794,39,23,36842
7,2367,L7N2367,2.4016018855300816,-0.7221747040748596,-1.7343761309883114,1.7343761309883114,40,36848,17
10,58,L10N58,0.4088207857027142,4.161047458648682,1.7011226913910362,1.7011226913910362,41,24,36841
11,747,L11N747,-0.0376666624436025,-45.15138244628906,1.7007018814663708,1.7007018814663708,42,25,36840
8,428,L8N428,0.4500195501372218,3.775723457336426,1.6991493717130943,1.6991493717130943,43,26,36839
8,1981,L8N1981,0.827237785889222,-2.02886962890625,-1.6783576196742938,1.6783576196742938,44,36847,18
11,2362,L11N2362,0.3501978238938715,4.782000541687012,1.674646183558106,1.674646183558106,45,27,36838
0,705,L0N705,0.9097759771414778,-1.8278666734695437,-1.6629491889400965,1.6629491889400965,46,36846,19
11,1590,L11N1590,-0.1078433854734281,-15.126693725585938,1.6313138623868515,1.6313138623868515,47,28,36837
8,2990,L8N2990,0.8374992030953184,1.943515658378601,1.6276928150953516,1.6276928150953516,48,29,36836
9,2798,L9N2798,0.4625272623182437,3.5022311210632324,1.6198773724311304,1.6198773724311304,49,30,36835
9,1006,L9N1006,0.4446387555779769,-3.5689210891723637,-1.5868806318455977,1.5868806318455977,50,36845,20
2,2643,L2N2643,0.3375106203623793,-4.667773723602295,-1.5754232051642238,1.5754232051642238,51,36844,21
10,2813,L10N2813,0.3838802768699018,-4.090429306030273,-1.5702351345156615,1.5702351345156615,52,36843,22
7,2794,L7N2794,0.6887050655771004,2.2431089878082275,1.5448405225450488,1.5448405225450488,53,31,36834
9,2979,L9N2979,0.6864083768662319,2.2235021591186523,1.5262305079991962,1.5262305079991962,54,32,36833
11,2022,L11N2022,0.8292082660968824,-1.840333580970764,-1.5260198177166338,1.5260198177166338,55,36842,23
7,2654,L7N2654,0.7837604152199756,1.9215245246887207,1.506014859325398,1.506014859325398,56,33,36832
7,2151,L7N2151,0.7074719326628176,2.1270885467529297,1.5048554451162393,1.5048554451162393,57,34,36831
8,3062,L8N3062,0.542725843731949,-2.739754676818848,-1.4869356685950623,1.4869356685950623,58,36841,24
8,820,L8N820,0.9757994659970626,-1.4949748516082764,-1.458795661878394,1.458795661878394,59,36840,25
0,486,L0N486,1.479685036871921,0.9704731702804564,1.4359946287496477,1.4359946287496477,60,35,36830
10,939,L10N939,0.4066422566355951,-3.5122876167297363,-1.4282445624202362,1.4282445624202362,61,36839,26
7,3050,L7N3050,-0.0788071982102833,-17.957273483276367,1.4151624107128262,1.4151624107128262,62,36,36829
10,680,L10N680,0.4790214661045783,-2.899951934814453,-1.3891392274476275,1.3891392274476275,63,36838,27
11,2980,L11N2980,0.0186811605146596,74.23199462890625,1.3867398069859516,1.3867398069859516,64,37,36828
11,2361,L11N2361,0.522100174735037,-2.6155998706817627,-1.3656051495198884,1.3656051495198884,65,36837,28
7,2489,L7N2489,0.7335889547512952,-1.8584067821502688,-1.3633066888203331,1.3633066888203331,66,36836,29
7,1211,L7N1211,0.3791089172177056,-3.585670232772827,-1.359359559446265,1.359359559446265,67,36835,30
9,892,L9N892,0.9738332760446196,1.3775957822799685,1.3415486137229522,1.3415486137229522,68,38,36827
2,989,L2N989,0.3646084836176173,3.658940076828003,1.3340805930599864,1.3340805930599864,69,39,36826
8,2157,L8N2157,1.409663010485449,-0.9441355466842652,-1.3309129570452665,1.3309129570452665,70,36834,31
0,642,L0N642,0.4141568247979204,-3.202594518661499,-1.3263763769640708,1.3263763769640708,71,36833,32
1,2933,L1N2933,0.9640652383194802,-1.357918620109558,-1.309122138114381,1.309122138114381,72,36832,33
7,1729,L7N1729,0.5880827180574587,2.2036237716674805,1.295913057218241,1.295913057218241,73,40,36825
0,2192,L0N2192,0.5170018393123015,-2.445732831954956,-1.2644483725871962,1.2644483725871962,74,36831,34
11,2903,L11N2903,0.5866483466456306,-2.150087118148804,-1.2613450530060644,1.2613450530060644,75,36830,35
3,1896,L3N1896,0.5286465121500276,2.3652029037475586,1.2503562655932643,1.2503562655932643,76,41,36824
0,1779,L0N1779,0.5703283857871694,2.1652534008026123,1.2349054768999328,1.2349054768999328,77,42,36823
1,632,L1N632,0.627626776881516,1.9652233123779297,1.2334267734001767,1.2334267734001767,78,43,36822
5,2204,L5N2204,0.6628937967137145,-1.859304666519165,-1.232521529636416,1.232521529636416,79,36829,36
10,2718,L10N2718,0.2899622417108483,4.2292256355285645,1.2263157459788496,1.2263157459788496,80,44,36821
11,1506,L11N1506,-0.0987922766977466,12.397404670715332,-1.2247678325632452,1.2247678325632452,81,36828,37
4,2422,L4N2422,0.8564003860196945,-1.4272162914276123,-1.222268582912204,1.222268582912204,82,36827,38
9,253,L9N253,0.4089856445133178,-2.9622859954833984,-1.211532447095553,1.211532447095553,83,36826,39
7,1871,L7N1871,0.7595543927682394,-1.5950350761413574,-1.2115158987025914,1.2115158987025914,84,36825,40
7,1698,L7N1698,0.3817191017239317,3.1545403003692627,1.2041482898088969,1.2041482898088969,85,45,36820
1,407,L1N407,1.2626453253836107,0.9530318975448608,1.2033412703764907,1.2033412703764907,86,46,36819
10,1396,L10N1396,1.1078350851994236,1.084736704826355,1.201709379810247,1.201709379810247,87,47,36818
8,2084,L8N2084,0.2918614212255885,-4.087983131408691,-1.1931245666791723,1.1931245666791723,88,36824,41
10,1425,L10N1425,0.7758756963260318,-1.5056381225585938,-1.168188026755168,1.168188026755168,89,36823,42
11,598,L11N598,0.775838728295573,1.4913007020950315,1.1570088402197043,1.1570088402197043,90,48,36817
7,1398,L7N1398,0.4164297936385641,2.7763142585754395,1.1561399737743734,1.1561399737743734,91,49,36816
9,78,L9N78,0.5786877899557691,1.97283399105072,1.1416549422307607,1.1416549422307607,92,50,36815
4,990,L4N990,0.51309840040376,-2.214144706726074,-1.136074107283601,1.136074107283601,93,36822,43
11,1611,L11N1611,3.098659998517145,0.360708624124527,1.1177133846948282,1.1177133846948282,94,51,36814
9,1043,L9N1043,0.6162724709312897,-1.810449719429016,-1.11573032208938,1.11573032208938,95,36821,44
3,2913,L3N2913,0.4419292385328101,2.5076904296875,1.108221722067812,1.108221722067812,96,52,36813
7,1294,L7N1294,0.5559754323575187,1.9549051523208616,1.086879237279532,1.086879237279532,97,53,36812
6,1985,L6N1985,0.6654721852372115,1.6326415538787842,1.0864775425687911,1.0864775425687911,98,54,36811
6,3039,L6N3039,0.7747250635346229,-1.3885693550109863,-1.0757594817831166,1.0757594817831166,99,36820,45
9,3063,L9N3063,1.7082390679035928,0.62788987159729,1.0725860090034611,1.0725860090034611,100,55,36810
